antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'High_Wind'}),frozenset({'High_Temp'}),0.37440982058545796,0.5504013220018886,0.267823418319169,0.7153215636822194,1.2996363473119799,1.0,0.06174775809844302,1.5793211590365552,0.3685383803021861,0.40765361121092336,0.3668165627502659,0.6009590876528189
frozenset({'High_Temp'}),frozenset({'High_Wind'}),0.5504013220018886,0.37440982058545796,0.267823418319169,0.48659661162341833,1.2996363473119799,1.0,0.06174775809844302,1.218515875776946,0.5127995315310019,0.40765361121092336,0.17932952710822647,0.6009590876528189
frozenset({'Temp_Category_Warm'}),frozenset({'High_Temp'}),0.21458923512747877,0.5504013220018886,0.20656279508970726,0.9625962596259625,1.7488988873152806,1.0,0.08845259638816884,12.020152891184775,0.5452072652325132,0.3699006552525893,0.9168063826597938,0.6689455670851236
frozenset({'High_Temp'}),frozenset({'Temp_Category_Warm'}),0.5504013220018886,0.21458923512747877,0.20656279508970726,0.37529487454428473,1.7488988873152806,1.0,0.08845259638816884,1.2572503936150246,0.9524308592431459,0.3699006552525893,0.20461349220606853,0.6689455670851236
frozenset({'Temp_Category_Hot'}),frozenset({'High_Temp'}),0.23961284230406044,0.5504013220018886,0.23961284230406044,1.0,1.816856101222389,1.0,0.10772961713127552,inf,0.5912760012418503,0.4353420544713703,1.0,0.7176710272356852
frozenset({'High_Temp'}),frozenset({'Temp_Category_Hot'}),0.5504013220018886,0.23961284230406044,0.23961284230406044,0.4353420544713703,1.8168561012223887,1.0,0.10772961713127552,1.346633238259083,1.0000000000000002,0.4353420544713703,0.2574073091402436,0.7176710272356852
frozenset({'Temp_Category_Very Hot'}),frozenset({'High_Temp'}),0.10422568460812087,0.5504013220018886,0.10422568460812087,1.0,1.816856101222389,1.0,0.04685973001325925,inf,0.5019106601660297,0.18936307098434482,1.0,0.5946815354921724
frozenset({'High_Temp'}),frozenset({'Temp_Category_Very Hot'}),0.5504013220018886,0.10422568460812087,0.10422568460812087,0.18936307098434482,1.8168561012223887,1.0,0.04685973001325925,1.105025299648765,1.0,0.18936307098434482,0.09504334396881925,0.5946815354921724
frozenset({'Humidity_Category_Very Dry'}),frozenset({'High_Temp'}),0.08675637393767706,0.5504013220018886,0.07542492917847025,0.8693877551020408,1.579552447185179,1.0,0.027674106271082605,3.44223987842304,0.40176494753276876,0.13427190586257615,0.7094914836504305,0.5032119989321056
frozenset({'High_Temp'}),frozenset({'Humidity_Category_Very Dry'}),0.5504013220018886,0.08675637393767706,0.07542492917847025,0.13703624276217027,1.579552447185179,1.0,0.027674106271082605,1.0582641720498538,0.8160817534946264,0.13427190586257615,0.05505635888343111,0.5032119989321056
