dt,co,no,no2,o3,so2,pm2_5,pm10,nh3,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-04-16 20:00:00,1188.28,0.0,33.93,38.98,4.53,42.13,61.63,19.76,24.0,15.0,57.0,0.0,,0.0,0.0,,1010.2,,1.0
2024-04-16 21:00:00,1094.82,0.0,27.08,41.48,4.23,43.4,61.08,16.72,23.0,14.6,59.0,0.0,,0.0,0.0,,1009.6,,1.0
2024-04-16 22:00:00,1068.12,0.0,22.96,40.41,4.17,47.19,64.16,14.95,23.0,15.1,61.0,0.0,,0.0,0.0,,1009.5,,1.0
2024-04-16 23:00:00,1121.52,0.0,22.96,34.33,4.35,54.08,71.96,12.92,22.0,14.1,61.0,0.0,,0.0,0.0,,1009.3,,1.0
2024-04-17 00:00:00,1241.68,0.04,26.39,23.6,4.59,61.66,80.7,11.4,21.0,14.2,65.0,0.0,,0.0,0.0,,1008.4,,1.0
2024-04-17 01:00:00,1401.9,0.68,31.87,11.44,5.13,68.25,88.97,12.41,21.0,15.1,69.0,0.0,,0.0,0.0,,1009.2,,1.0
2024-04-17 02:00:00,1869.2,13.52,35.99,8.14,7.51,83.36,109.58,19.0,21.0,13.9,64.0,0.0,,0.0,0.0,,1009.3,,1.0
2024-04-17 03:00:00,2456.67,30.4,46.61,19.13,10.49,102.18,134.07,25.84,23.0,14.6,59.0,0.0,,0.0,0.0,,1009.3,,1.0
2024-04-17 04:00:00,2243.04,16.76,55.52,68.66,13.11,101.39,129.92,25.59,27.0,14.1,45.0,0.0,,0.0,0.0,,1009.4,,1.0
2024-04-17 05:00:00,2162.93,8.16,51.41,155.93,15.14,121.11,152.02,25.59,29.0,14.0,40.0,0.0,,0.0,0.0,,1009.6,,1.0
2024-04-17 06:00:00,1976.01,3.05,33.59,277.52,17.64,146.62,177.99,24.07,30.0,13.3,36.0,0.0,,0.0,0.0,,1010.0,,1.0
2024-04-17 07:00:00,921.25,1.03,11.65,254.63,28.13,62.13,74.49,11.27,31.0,12.9,33.0,0.0,,0.0,0.0,,1009.1,,1.0
2024-04-17 08:00:00,727.65,0.89,9.6,246.05,29.33,47.06,55.26,7.92,31.6,12.4,31.0,0.0,,267.0,7.4,,1008.5,,2.0
2024-04-17 09:00:00,680.92,0.87,9.77,240.33,28.13,40.83,47.85,7.28,33.5,10.2,24.0,0.0,,180.0,7.6,,1007.6,,2.0
2024-04-17 10:00:00,674.25,0.89,12.0,214.58,21.93,33.71,40.26,7.92,33.0,11.0,26.0,0.0,,270.0,7.6,,1007.6,,1.0
2024-04-17 11:00:00,781.06,1.06,19.71,178.81,16.45,29.94,37.25,9.88,31.8,11.6,29.0,0.0,,258.0,5.5,,1007.0,,1.0
2024-04-17 12:00:00,921.25,0.96,31.19,147.34,14.19,26.89,34.91,10.89,32.0,6.2,20.0,0.0,,230.0,11.2,,1006.7,,2.0
2024-04-17 13:00:00,2056.12,1.87,95.96,67.95,15.74,45.52,61.29,19.76,31.0,8.1,24.0,0.0,,230.0,11.2,,1006.8,,2.0
2024-04-17 14:00:00,3524.78,13.52,148.06,3.04,20.03,82.87,113.95,32.93,30.0,7.8,25.0,0.0,,270.0,11.2,,1007.1,,3.0
2024-04-17 15:00:00,4165.65,33.97,135.72,0.0,22.89,116.62,164.98,46.1,29.5,13.7,38.0,0.0,,230.0,7.6,,1007.5,,3.0
2024-04-17 16:00:00,4486.08,46.49,123.38,0.0,25.27,145.87,210.09,59.78,29.0,12.0,35.0,0.0,,0.0,0.0,,1007.7,,3.0
2024-04-17 17:00:00,4806.52,58.11,113.79,0.0,27.42,176.3,252.59,70.93,28.0,13.9,42.0,0.0,,0.0,0.0,,1008.0,,3.0
2024-04-17 18:00:00,4806.52,60.8,102.82,0.0,27.66,191.5,273.3,78.02,26.5,13.9,46.0,0.0,,0.0,0.0,,1008.8,,3.0
